NEW MEXICO CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA),,
State,ZCTA,CongressionalDistrict
35,79837,2
35,81137,3
35,86504,3
35,86515,3
35,87001,1
35,87001,3
35,87002,2
35,87004,1
35,87004,3
35,87005,2
35,87006,2
35,87007,2
35,87008,1
35,87010,3
35,87011,2
35,87012,3
35,87013,3
35,87014,2
35,87014,3
35,87015,1
35,87015,3
35,87016,1
35,87017,3
35,87018,3
35,87020,2
35,87021,2
35,87022,2
35,87023,2
35,87024,3
35,87025,3
35,87026,1
35,87026,2
35,87027,3
35,87028,2
35,87029,3
35,87031,1
35,87031,2
35,87032,1
35,87034,2
35,87035,1
35,87035,3
35,87036,1
35,87036,2
35,87037,3
35,87038,2
35,87040,2
35,87041,3
35,87042,2
35,87043,1
35,87043,3
35,87044,3
35,87045,2
35,87045,3
35,87046,3
35,87047,1
35,87047,3
35,87048,1
35,87048,3
35,87049,2
35,87051,2
35,87052,3
35,87053,3
35,87056,3
35,87059,1
35,87059,2
35,87061,1
35,87062,2
35,87063,1
35,87064,3
35,87068,2
35,87070,1
35,87072,3
35,87083,3
35,87102,1
35,87104,1
35,87105,1
35,87105,2
35,87106,1
35,87107,1
35,87108,1
35,87109,1
35,87110,1
35,87111,1
35,87112,1
35,87113,1
35,87114,1
35,87114,3
35,87116,1
35,87117,1
35,87117,2
35,87120,1
35,87121,1
35,87121,2
35,87121,3
35,87122,1
35,87123,1
35,87124,3
35,87144,1
35,87144,3
35,87301,3
35,87305,2
35,87305,3
35,87310,3
35,87311,3
35,87312,3
35,87313,3
35,87315,2
35,87316,3
35,87317,3
35,87319,3
35,87320,3
35,87321,2
35,87321,3
35,87322,3
35,87323,2
35,87323,3
35,87325,3
35,87326,3
35,87327,2
35,87327,3
35,87328,3
35,87347,3
35,87357,2
35,87364,3
35,87375,3
35,87401,3
35,87402,3
35,87410,3
35,87412,3
35,87413,3
35,87415,3
35,87416,3
35,87417,3
35,87418,3
35,87419,3
35,87420,3
35,87421,3
35,87455,3
35,87461,3
35,87499,3
35,87501,3
35,87505,3
35,87506,3
35,87507,3
35,87508,3
35,87510,3
35,87511,3
35,87512,3
35,87513,3
35,87514,3
35,87515,3
35,87516,3
35,87517,3
35,87518,3
35,87519,3
35,87520,3
35,87521,3
35,87522,3
35,87523,3
35,87524,3
35,87525,3
35,87527,3
35,87528,3
35,87529,3
35,87530,3
35,87531,3
35,87532,3
35,87533,3
35,87535,3
35,87537,3
35,87538,3
35,87539,3
35,87540,3
35,87543,3
35,87544,3
35,87548,3
35,87549,3
35,87551,3
35,87552,3
35,87554,3
35,87556,3
35,87557,3
35,87558,3
35,87560,3
35,87562,3
35,87564,3
35,87565,3
35,87566,3
35,87567,3
35,87569,3
35,87571,3
35,87573,3
35,87574,3
35,87575,3
35,87577,3
35,87578,3
35,87579,3
35,87580,3
35,87581,3
35,87582,3
35,87583,3
35,87701,3
35,87710,3
35,87711,2
35,87711,3
35,87712,3
35,87713,3
35,87714,3
35,87715,3
35,87718,3
35,87722,3
35,87723,3
35,87724,2
35,87728,3
35,87729,3
35,87730,3
35,87731,3
35,87732,3
35,87733,3
35,87734,3
35,87735,3
35,87736,3
35,87740,3
35,87742,3
35,87743,3
35,87745,3
35,87746,3
35,87747,3
35,87749,3
35,87750,3
35,87752,3
35,87753,3
35,87801,2
35,87820,2
35,87821,2
35,87823,2
35,87824,2
35,87825,2
35,87827,2
35,87828,2
35,87829,2
35,87830,2
35,87831,2
35,87832,2
35,87901,2
35,87930,2
35,87931,2
35,87933,2
35,87935,2
35,87936,2
35,87937,2
35,87939,2
35,87940,2
35,87941,2
35,87942,2
35,87943,2
35,88001,2
35,88002,2
35,88003,2
35,88004,2
35,88005,2
35,88007,2
35,88008,2
35,88009,2
35,88011,2
35,88012,2
35,88020,2
35,88021,2
35,88022,2
35,88023,2
35,88024,2
35,88025,2
35,88026,2
35,88027,2
35,88028,2
35,88029,2
35,88030,2
35,88032,2
35,88033,2
35,88034,2
35,88038,2
35,88039,2
35,88040,2
35,88041,2
35,88042,2
35,88043,2
35,88044,2
35,88045,2
35,88046,2
35,88047,2
35,88048,2
35,88049,2
35,88051,2
35,88052,2
35,88053,2
35,88055,2
35,88056,2
35,88061,2
35,88063,2
35,88065,2
35,88072,2
35,88081,2
35,88101,3
35,88103,3
35,88112,3
35,88113,2
35,88114,2
35,88115,2
35,88116,2
35,88118,2
35,88119,2
35,88120,3
35,88121,3
35,88124,2
35,88124,3
35,88125,2
35,88126,2
35,88130,2
35,88130,3
35,88132,2
35,88134,2
35,88135,3
35,88136,2
35,88201,2
35,88203,2
35,88210,2
35,88220,2
35,88230,2
35,88231,2
35,88232,2
35,88240,2
35,88242,2
35,88250,2
35,88252,2
35,88253,2
35,88254,2
35,88255,2
35,88256,2
35,88260,2
35,88262,2
35,88263,2
35,88264,2
35,88265,2
35,88267,2
35,88268,2
35,88301,1
35,88301,2
35,88310,2
35,88311,2
35,88312,2
35,88314,2
35,88316,2
35,88317,2
35,88318,1
35,88318,2
35,88321,1
35,88321,2
35,88323,2
35,88324,2
35,88325,2
35,88330,2
35,88336,2
35,88337,2
35,88338,2
35,88339,2
35,88340,2
35,88341,2
35,88342,2
35,88343,2
35,88344,2
35,88345,2
35,88346,2
35,88347,2
35,88348,2
35,88349,2
35,88350,2
35,88351,2
35,88352,2
35,88353,2
35,88354,2
35,88355,2
35,88401,3
35,88410,3
35,88411,3
35,88414,3
35,88415,3
35,88416,3
35,88417,2
35,88418,3
35,88419,3
35,88421,3
35,88422,3
35,88424,3
35,88426,3
35,88427,3
35,88430,3
35,88431,2
35,88431,3
35,88434,3
35,88435,2
35,88436,3